Stn_# Station                  Stn_Freq    Time_Offset    Stn_Lon    Ref_Lon
  264 DATSAV3   :725755:KHIF     60         240           -111.97     -50.00
  265 DATSAV3   :725540:KOFF     60         180            -95.92     -50.00
  266 ASOSH     :LBF             60         180           -100.69     -50.00
  267 DATSAV3   :725620:KLBF     60         180           -100.68     -50.00
  268 DATSAV3   :725640:KCYS     60         240           -104.82     -50.00
  269 HPLAINS   :A251569         60         180            -97.97     -50.00
  270 HPLAINS   :A255368         60         180            -96.47     -50.00
  271 DATSAV3   :725750:KOGD     60         240           -112.02     -50.00
  272 HPLAINS   :A251549         60         180           -101.63     -50.00
  273 HPLAINS   :A131909         60         180            -91.48     -50.00
  274 HPLAINS   :A257839         60         240           -103.02     -50.00
  275 HPLAINS   :A255369         60         180            -96.58     -50.00
  276 DATSAV3   :725497:KCBF     60         180            -95.77     -50.00
  277 ASOSH     :EVW             60         240           -111.03     -50.00
  278 DATSAV3   :725775:KEVW     60         240           -111.03     -50.00
  279 DATSAV3   :725454:KAWG     60         180            -91.67     -50.00
  280 DATSAV3   :725500:KOMA     60         180            -95.90     -50.00
  281 DATSAV3   :725493:KOXV     60         180            -93.12     -50.00
  282 DATSAV3   :725645:KLAR     60         240           -105.67     -50.00
  283 DATSAV3   :725487:KMUT     60         180            -91.15     -50.00
  284 HPLAINS   :A255367         60         180            -96.50     -50.00
  285 HPLAINS   :A255649         60         180            -97.57     -50.00
  286 DATSAV3   :725555:KBBW     60         180            -99.65     -50.00
  287 ASOSH     :MLI             60         180            -90.51     -50.00
  288 DATSAV3   :725565:KOLU     60         180            -97.33     -50.00
  289 DATSAV3   :725564:KFET     60         180            -96.52     -50.00
  290 DATSAV3   :725440:KMLI     60         180            -90.52     -50.00
  291 HPLAINS   :A250259         60         180           -101.85     -50.00
  292 DATSAV3   :725460:KDSM     60         180            -93.65     -50.00
  293 ASOSH     :DSM             60         180            -93.66     -50.00
  294 DATSAV3   :725744:KRKS     60         240           -109.07     -50.00
  295 ASOSH     :DVN             60         180            -90.59     -50.00
  296 DATSAV3   :725524:KODX     60         180            -98.95     -50.00
  297 DATSAV3   :725349:KDVN     60         180            -90.58     -50.00
  298 HPLAINS   :A256339         60         180            -98.93     -50.00
  299 DATSAV3   :725462:KIOW     60         180            -91.55     -50.00
  300 ASOSH     :IOW             60         180            -91.55     -50.00
  301 HPLAINS   :A250369         60         180           -101.52     -50.00
  302 DATSAV3   :725464:KTNU     60         180            -93.02     -50.00
  303 ASOSH     :TQE             60         180            -96.18     -50.00
  304 DATSAV3   :725527:KTQE     60         180            -96.17     -50.00
  305 DATSAV3   :724796:KLGU     60         240           -111.85     -50.00
  306 ASOSH     :LGU             60         240           -111.85     -50.00
  307 DATSAV3   :725745:KRWL     60         240           -107.20     -50.00
  308 DATSAV3   :725473:KCWI     60         180            -90.33     -50.00
  309 HPLAINS   :A259209         60         180            -96.73     -50.00
  310 DATSAV3   :725660:KBFF     60         240           -103.60     -50.00
  311 ASOSH     :BFF             60         240           -103.60     -50.00
  312 HPLAINS   :A257679         60         240           -103.67     -50.00
  313 DATSAV3   :725450:KCID     60         180            -91.72     -50.00
  314 ASOSH     :CID             60         180            -91.71     -50.00
  315 HPLAINS   :A253549         60         180           -100.15     -50.00
  316 NPN       :SLAI            60         180            -93.70     -50.00
  317 NPN       :MBWW            60         240           -106.19     -50.00
  318 HPLAINS   :A255599         60         240           -103.70     -50.00
  319 HPLAINS   :A252599         60         180            -98.18     -50.00
  320 DATSAV3   :725560:KOFK     60         180            -97.43     -50.00
  321 DATSAV3   :725477:KDNS     60         180            -95.38     -50.00
  322 ASOSH     :OFK             60         180            -97.43     -50.00
  323 ASOSH     :AMW             60         180            -93.62     -50.00
  324 DATSAV3   :725472:KAMW     60         180            -93.62     -50.00
  325 HPLAINS   :A250138         60         240           -103.13     -50.00
  326 HPLAINS   :A130209         60         180            -93.75     -50.00
  327 HPLAINS   :A488999         60         240           -104.18     -50.00
  328 HPLAINS   :A130219         60         180            -93.75     -50.00
  329 NRCS/SMST :TORRINGTON      60         240           -104.09     -50.00
  330 DATSAV3   :725635:KAIA     60         240           -102.80     -50.00
  331 DATSAV3   :725468:KCIN     60         180            -94.78     -50.00
  332 DATSAV3   :725486:KBNW     60         180            -93.85     -50.00
  333 ASOSH     :AIA             60         240           -102.80     -50.00
  334 HPLAINS   :A253479         60         180           -101.43     -50.00
  335 HPLAINS   :A131299         60         180            -95.83     -50.00
  336 DATSAV3   :725461:KMIW     60         180            -92.92     -50.00
  337 ASOSH     :MIW             60         180            -92.92     -50.00
  338 DATSAV3   :725786:KMLD     60         240           -112.30     -50.00
