
Information about map: EDT                 
==================================

Map name (internal)     : EDT000
Sounding set (internal) : 0
RS-Number               : E4514351
Data record length      : 40 bytes
Number of data records  : 2410
Max filemap size        : 2410 bytes
Data header size        : 12504 bytes
Free space in map       : -106494 bytes (107371520 records)
Status flag (not used)  : 1


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

    86.00	 28080.00	   299.40	    35.00	    -2.56	     1.95	   518.00	   949.20	   282.60	     7.77	   323.00	     3.20	   132.00	   400.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
    88.00	 28074.00	   299.30	    35.00	    -2.61	     1.89	   531.00	   947.70	   282.60	     7.77	   324.00	     3.20	   132.00	   400.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
    90.00	 28069.00	   299.20	    35.00	    -2.67	     1.83	   543.00	   946.40	   282.40	     7.71	   326.00	     3.20	   133.00	   400.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
    92.00	 28064.00	   299.10	    34.00	    -2.73	     1.75	   553.00	   945.40	   282.20	     7.62	   327.00	     3.20	   133.00	   400.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
    94.00	 28060.00	   299.00	    34.00	    -2.78	     1.65	   563.00	   944.30	   282.10	     7.58	   329.00	     3.20	   133.00	   400.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
    96.00	 28055.00	   299.00	    34.00	    -2.82	     1.55	   572.00	   943.30	   282.10	     7.57	   331.00	     3.20	   133.00	   400.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
    98.00	 28050.00	   298.90	    34.00	    -2.86	     1.45	   582.00	   942.20	   282.00	     7.54	   333.00	     3.20	   134.00	   500.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
   100.00	 28046.00	   298.80	    34.00	    -2.88	     1.34	   592.00	   941.20	   281.90	     7.51	   335.00	     3.20	   134.00	   500.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
   102.00	 28041.00	   298.70	    34.00	    -2.89	     1.24	   603.00	   940.10	   281.90	     7.47	   337.00	     3.10	   134.00	   500.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
   104.00	 28036.00	   298.60	    34.00	    -2.87	     1.15	   613.00	   939.00	   281.80	     7.44	   338.00	     3.10	   134.00	   500.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
