Acronyms,archive_ident
SCRIPPS,102.059
NOAA/PMEL/EcoFOCI,102.059
HL0802,102.058
FOCI,102.058
netCDF,102.058 || 13.603 || 13.601
HI0902,102.142
UW,102.162 || 13.605
UAF-UW,102.162
DAS/IMET,102.186 || 102.192
DAS,102.186
IMET,102.186
SBE-21,102.186
GMT,102.186 || 62.120
TN249DAS,102.186
CFG,102.186
HI0701,102.016
TN250DAS,102.192
POSMV,102.074 || 102.103 || 102.121 || 102.149 || 102.214 || 102.041 || 102.011 || 102.045
AGGPS,102.074
BGM221,102.074
BGM222,102.074
MK27,102.074
MK39,102.074
SIO,102.074
TSG,102.074
IBS,102.103
ARC-0732771,102.183
MK30,102.041
HEX,102.011
BEST-,102.232
KN19510,102.231 || 102.235
PH,102.137
KH,102.137
SH,102.137
AW,102.137
HLY-08-02,102.240
HLY-08-03,102.240
HLY-09-02,102.240
CalVET,102.241
BEST/BSIERP,102.242 || 102.245
HLY0803,102.242
HLY,102.242
KN,102.242
TN,102.242
MC-800,102.245
SBE16,102.246
SBE37,102.246
10AU,102.250
GFF,102.250
V-SMOW,102.261
SMOW-SLAP,102.261
HLY0903,102.262
KN195,102.262
POP,102.262
BEST-NPZ,102.265
CORE2,102.265
CFSR,102.265
BEST-NPZ_40m_run1:,102.265
"
BEST-NPZ_100m_run1:",102.265
"
BEST-NPZ_production_run1:",102.265
PESA10-01,102.267
PESA,102.267
POM,102.269 || 62.049 || 62.050 || 62.051 || 62.052 || 62.210 || 62.2100 || 62.211 || 62.2110
PSEA10-01,102.274
PSEA1001,102.275
DAPI,102.276
OTU,102.277
WC,102.277
PROBES,102.278 || 102.279
PIOMAS,102.280
mtCOI,102.281
PSEA-10-01,102.281
KF836981-KF837126,102.281
RAF,234.001
BOReal,234.001
BOREAS,234.001
MIZ,245.B56-001
NPRB,245.B57-001
GDB,245.B57-001
BASIS,245.B59-001 || 245.B59-002 || 245.B59-003
FV,245.B59-002
FEAST,245.B61-001
AFSC,245.B66-001 || 245.B66-002
USFWS,245.B67-005
MCAB,245.B67-006
NPCREP,245.B52-006
OCH,245.B52-006
TAPS-8,245.B52-006
YOY,245.B54-001
ATF,245.B54-001
RNA,245.B54-001
MZ,245.B55-001 || 245.B55-002 || 245.B55-003
EBS,245.B53-003
BOEMRE,245.B64-002
NPPSD,245.B64-002
MACE,245.B62-005 || 245.B62-006 || 245.B62-015 || 245.B62-016
RACE,245.B62-005
NOAA-NMFS,245.B62-005
LTK,245.B69-001
BAS,245.B63-002
LOTEK,245.B63-003
NOAA/AFSC,245.B62-012
CCA,56.210 || 56.211 || 56.212 || 56.213
DCA,56.214 || 56.215 || 56.216
TOOL2,56.320
TOOL,56.322
CLIP,56.600 || 56.6000 || 56.601 || 56.602 || 56.603 || 56.604 || 56.605 || 56.606 || 56.607 || 56.608 || 56.609 || 56.610 || 56.6100 || 56.612 || 56.613 || 56.614 || 56.615 || 56.616 || 56.617 || 56.618 || 56.619 || 56.620 || 56.6200 || 56.621 || 56.622 || 56.623 || 56.624 || 56.625 || 56.626 || 56.627 || 56.628 || 56.629 || 56.630 || 56.6300 || 56.631 || 56.632 || 56.633 || 56.634 || 56.635 || 56.636 || 56.637 || 56.638 || 56.639
3-TF,56.608
containsCLIP,56.611
4-TF,56.618
2-TF,56.628
1-TF,56.638
PAPP,56.6400 || 56.641 || 56.642 || 56.643 || 56.644 || 56.645 || 56.646 || 56.647
RATE,56.918 || 56.919 || 56.920 || 56.921 || 56.954 || 56.955
BAR,56.924
TIF,56.946
AOL,255.007
ARL,255.007
BCBS,255.010
COMIDA,255.013
CAB,255.013
SQL,255.013
BA,255.014
ANIMIDA,255.016
cANIMIDA,255.016
MMS,255.016
PAH,255.016 || 255.018 || 255.021 || 255.022 || 255.023 || 255.024 || 255.025 || 255.026 || 255.027 || 255.028 || 255.034
SHC,255.016
SPMD,255.016
CYP1a,255.016
FAC,255.016
TSS,255.016
WEBSEC,255.017
WEBSEC-72,255.017
CSESP,255.020 || 255.039
PacMARS,255.032 || 255.050 || 255.051 || 255.052 || 255.053 || 255.054 || 255.055 || 255.056 || 255.057 || 255.058 || 255.059 || 255.061
TL,255.035
COP,255.037
LLC,255.037
OLF,255.037
NEPA,255.037
NE,255.046
PDFs,255.047
WHP,62.071 || 62.072 || 62.074 || 62.119 || 62.130 || 62.131 || 62.173 || 62.175 || 62.176 || 62.302
PO4,62.016
NO2,62.016
HLY-02-01,62.136 || 62.042 || 62.046 || 62.044
HLY-02-03,62.136 || 62.043 || 62.047 || 62.045
AWS-02-1,62.136 || 62.134
EOL,62.136 || 13.832 || 13.820 || 13.821 || 13.822 || 13.823 || 13.824 || 13.825 || 13.826 || 13.827 || 13.828 || 13.829
AOU,62.132
PO,62.132
UNIX,62.005
DOS,62.006
LM1,62.010
LM2,62.010
LM3,62.010
P1-92-AR,62.011 || 62.012 || 62.013 || 62.017 || 62.018 || 62.019 || 62.020 || 62.021 || 62.022 || 62.023 || 62.024 || 62.025 || 62.026 || 62.027 || 62.028 || 62.029 || 62.030 || 62.031 || 62.032 || 62.033
SBI:,62.029
ROM,62.036
CCGS,62.038
9USCGC,62.057
IOEB,62.069
NIC,62.115
NBP03-04A,62.118
NBP,62.120 || 62.116
JGOFS,62.121
MGD77,62.122
PC02,62.124
AWS02-I,62.125 || 62.126
HLY-03-03,62.127
MATLAB,62.137 || 62.138 || 62.140 || 62.142
AWS-02-I,62.141 || 62.147 || 62.148
PNG,62.145
RA,62.149 || 62.154 || 62.155 || 62.157 || 62.1570
228-RA,62.1490
224RA,62.154
HLY-04-02,62.160
EM120,62.168
NBP0304A,62.168
DAT,62.168
HLY-04-03,62.171
HLY-04-04,62.176
DON,62.183
VPR,62.189
ACW,62.196
EB,62.196
EHS,62.196
WHS,62.196
HC,62.196
HV,62.196
ONR,62.197
RCM,62.197
SIS,62.198 || 62.200 || 62.199 || 62.201
14C-NaHCO3,62.198
GF/F,62.198
HCL,62.198
HPLC,62.202 || 62.261 || 62.2610 || 62.262 || 62.2620
SPMR/SMSR,62.204
SBI3-02,62.226
SBI4-02,62.226
SBI3-03,62.226
SBI4-03,62.226
AWS02,62.226
HLY-04-03JOSSMoran,62.228
O2UR,62.230
EM,62.209
DIC,62.212 || 62.213 || 62.246 || 62.247 || 62.2460
HX274,62.215
HX290,62.216
HX235,62.217
HX250,62.218
ITS90,62.218
NSF-ONR,62.238
PIs:,62.238
SS,62.239
QC,62.239
HCl,62.248
CE-440,62.248
NO3+NO2+NH4,62.251
TDN,62.251
HLY-02-03-018,62.254
EB-7,62.254
HLY-02-03-021,62.255
EB-4,62.255
HLY-02-03-023,62.256
EB-2,62.256
FISH,62.257 || 62.2570
TCO2,62.258
ADU2-3DGPS,62.263
SW3LOC4A,62.292
SBE-25,62.292
ISUS,62.292
AutoVPR,62.291
TM7,62.291
SBE49,62.291
HLY0404,62.293 || 62.294
XCTD,62.034
DDS-3,62.075
1KM,62.080
5KM,62.095
DVD-ROM,62.116
IOS9660,62.116
WOCE,62.311
ISUS-sensed,62.312
GTS,13.113
PRELIMINARY,13.107 || 13.203 || 13.204 || 13.506 || 13.507 || 13.508 || 13.509 || 13.510 || 13.511 || 13.512 || 13.513 || 13.514 || 13.515 || 13.516 || 13.726 || 13.727 || 13.728 || 13.729 || 13.730
GIF,13.108 || 13.109
GE,13.114
RH,13.114
PAM-III,13.102
NCAR-EOL,13.120
PAM,13.121
DABUL,13.125 || 13.124
DO,13.126
NCAR/SSSF,13.201
ETL,13.301
FINAL,13.301
SSEC,13.404
NOAA-12/14,13.407 || 13.410
TDF,13.407
NSA,13.411
/SHEBA,13.411
APP,13.413
SPO,13.503
AERI,13.506
12XL,13.518
WNW,13.518 || 13.521 || 13.522 || 13.523
AC-9,13.521
DATCNV,13.524
pre-SHEBA,13.524
HDR,13.524
911+CTD,13.525
co-PI's,13.527
ADP,13.529
FIRE-ACE/SHEBA,13.605
ARGOS,13.720
LT,13.735
mini-CART,13.740
NSA/AAO,13.740
JGR,13.745
#OPP-9708635,13.800
ML,13.800
NPstations_2&amp,13.800
DIPS,13.801
MRP,13.802
Flux-PAM,13.802
ScanSAR,13.812
RGPS,13.812
JPL,13.812
ISFF,13.817
DDS2,13.831
AT,13.831
DOT,13.831
GLASS,13.832
SHEBA_ALLTAXA,13.833
SHEBA_NapuliarCounts,13.833
MRF,13.701 || 13.702 || 13.703 || 13.704 || 13.705 || 13.706 || 13.712
IGES,13.701
PWV,13.119
LWP,13.119
SHEBA:,13.603
ADCC,13.600
SGP99,13.835
MCR,13.836
MCRVIEW,13.836
VHS,13.837
